Номер отзыва,Дата,Группа пользователей,Пол,Браузер,Операционная система,Версия расширения,Оценка первого знакомства,Оценка понятности,Оценка заметности предупреждений,Оценка точности распознавания,Оценка ложных срабатываний,Оценка скорости работы,Оценка стабильности,Оценка доверия,Оценка готовности рекомендовать,Итоговая оценка
FB-0001,2025-08-01,подросток,Ж,Chrome,Linux (Ubuntu 22.04),2.3.0,5,4,5,5,4,5,5,5,5,5
FB-0002,2025-08-04,молодой пользователь,М,Yandex,macOS 14,2.3.1,5,5,4,5,5,4,5,5,5,5
FB-0003,2025-08-07,подросток,Ж,Safari,macOS 14,2.3.2,5,5,5,4,5,5,4,5,5,5
FB-0004,2025-08-10,молодой пользователь,М,Chrome,macOS 14,2.3.3,5,5,5,5,4,5,5,4,5,5
FB-0005,2025-08-13,подросток,Ж,Yandex,Linux (Ubuntu 22.04),2.3.0,5,5,5,5,5,4,5,5,4,5
FB-0006,2025-08-16,молодой пользователь,М,Safari,macOS 14,2.3.1,4,5,5,5,5,5,4,5,5,5
FB-0007,2025-08-19,подросток,Ж,Chrome,Windows 11,2.3.2,5,4,5,5,5,5,5,4,5,5
FB-0008,2025-08-22,молодой пользователь,М,Yandex,macOS 14,2.3.3,5,5,4,5,5,5,5,5,4,5
FB-0009,2025-08-25,подросток,Ж,Safari,macOS 14,2.3.0,4,5,5,4,5,5,5,5,5,5
FB-0010,2025-08-28,молодой пользователь,М,Chrome,macOS 14,2.3.1,5,4,5,5,4,5,5,5,5,5
FB-0011,2025-08-31,подросток,Ж,Yandex,Windows 11,2.3.2,5,5,4,5,5,4,5,5,5,5
FB-0012,2025-09-03,молодой пользователь,М,Safari,macOS 14,2.3.3,5,5,5,4,5,5,4,5,5,5
FB-0013,2025-09-06,подросток,Ж,Chrome,Linux (Ubuntu 22.04),2.3.0,5,5,5,5,4,5,5,4,5,5
FB-0014,2025-09-09,молодой пользователь,М,Yandex,macOS 14,2.3.1,5,5,5,5,5,4,5,5,4,5
FB-0015,2025-09-12,подросток,Ж,Safari,macOS 14,2.3.2,4,5,5,5,5,5,4,5,5,5
FB-0016,2025-09-15,молодой пользователь,М,Chrome,macOS 14,2.3.3,5,4,5,5,5,5,5,4,5,5
FB-0017,2025-09-18,подросток,Ж,Yandex,Linux (Ubuntu 22.04),2.3.0,5,5,4,5,5,5,5,5,4,5
FB-0018,2025-09-21,молодой пользователь,М,Safari,macOS 14,2.3.1,4,5,5,4,5,5,5,5,5,5
FB-0019,2025-09-24,подросток,Ж,Chrome,Windows 11,2.3.2,5,4,5,5,4,5,5,5,5,5
FB-0020,2025-09-27,молодой пользователь,М,Yandex,macOS 14,2.3.3,5,5,4,5,5,4,5,5,5,5
FB-0021,2025-09-30,студент,Ж,Safari,macOS 14,2.4.0,5,5,5,4,5,5,4,5,5,5
FB-0022,2025-10-03,молодой специалист,М,Chrome,macOS 14,2.4.1,5,5,5,5,4,5,5,4,5,5
FB-0023,2025-10-06,студент,Ж,Yandex,Windows 11,2.4.2,5,5,5,5,5,4,5,5,4,5
FB-0024,2025-10-09,молодой специалист,М,Safari,macOS 14,2.4.0,4,5,5,5,5,5,4,5,5,5
FB-0025,2025-10-12,студент,Ж,Chrome,Linux (Ubuntu 22.04),2.4.1,5,4,5,5,5,5,5,4,5,5
FB-0026,2025-10-15,молодой специалист,М,Yandex,macOS 14,2.4.2,5,5,4,5,5,5,5,5,4,5
FB-0027,2025-10-18,студент,Ж,Safari,macOS 14,2.4.0,4,5,5,4,5,5,5,5,5,5
FB-0028,2025-10-21,молодой специалист,М,Chrome,macOS 14,2.4.1,5,4,5,5,4,5,5,5,5,5
FB-0029,2025-10-24,студент,Ж,Yandex,Linux (Ubuntu 22.04),2.4.2,5,5,4,5,5,4,5,5,5,5
FB-0030,2025-10-27,молодой специалист,М,Safari,macOS 14,2.4.0,5,5,5,4,5,5,4,5,5,5
FB-0031,2025-10-30,студент,Ж,Chrome,Windows 11,2.4.1,5,5,5,5,4,5,5,4,5,5
FB-0032,2025-11-02,молодой специалист,М,Yandex,macOS 14,2.4.2,5,5,5,5,5,4,5,5,4,5
FB-0033,2025-11-05,студент,Ж,Safari,macOS 14,2.4.0,4,5,5,5,5,5,4,5,5,5
FB-0034,2025-11-08,молодой специалист,М,Chrome,macOS 14,2.4.1,5,4,5,5,5,5,5,4,5,5
FB-0035,2025-11-11,студент,Ж,Yandex,Windows 11,2.4.2,5,5,4,5,5,5,5,5,4,5
FB-0036,2025-11-14,молодой специалист,М,Safari,macOS 14,2.4.0,4,5,5,4,5,5,5,5,5,5
FB-0037,2025-11-17,студент,Ж,Chrome,Linux (Ubuntu 22.04),2.4.1,5,4,5,5,4,5,5,5,5,5
FB-0038,2025-11-20,молодой специалист,М,Yandex,macOS 14,2.4.2,5,5,4,5,5,4,5,5,5,5
FB-0039,2025-11-23,студент,Ж,Safari,macOS 14,2.4.0,5,5,5,4,5,5,4,5,5,5
