review_id,review_date,role,gender,browser,os,extension_version,onboarding_score,ui_clarity_score,warning_visibility_score,detection_quality_score,false_positive_control_score,performance_score,stability_score,privacy_trust_score,recommendation_score,overall_score,comment
FB-0001,2025-02-03,студент,Ж,Chrome,macOS,1.0.1,5,4,5,4,5,5,4,5,4,5,"Расширение удобное: предупреждения понятные, в работе почти не мешает."
FB-0002,2025-02-06,школьник,М,Brave,Windows 11,1.0.2,4,5,4,5,4,4,5,4,5,4,"Хорошо ловит подозрительные ссылки и помогает не перейти на поддельный сайт."
FB-0003,2025-02-09,пенсионер,Ж,Arc,Windows 10,1.0.3,5,4,5,4,5,5,4,5,4,5,"Понравилась скорость проверки: вердикт появляется быстро и читаемо."
FB-0004,2025-02-12,человек средних лет,М,Safari,macOS,1.0.4,3,4,3,4,4,4,3,4,3,4,"Хорошая защита, при этом иногда хочется быстрее добавлять сайт в исключения."
FB-0005,2025-02-15,студент,Ж,Yandex,Windows 10,1.0.5,5,4,5,4,5,5,4,5,4,5,"Подсветка ссылок до клика действительно снижает число случайных переходов."
FB-0006,2025-02-18,школьник,М,Chrome,Windows 10,1.0.0,4,5,4,5,4,4,5,4,5,4,"Интерфейс простой, всё понятно без отдельной инструкции."
FB-0007,2025-02-21,пенсионер,Ж,Brave,macOS,1.0.1,4,3,4,3,4,3,4,3,4,3,"Детект хороший, но в редких случаях срабатывает на безопасные промо-страницы."
FB-0008,2025-02-24,человек средних лет,М,Arc,Windows 11,1.0.2,3,4,3,4,2,4,3,4,3,4,"Функция репорта полезна, но хотелось бы встроенную отправку в большее число сервисов."
FB-0009,2025-02-27,студент,Ж,Safari,macOS,1.0.3,5,4,5,4,5,5,4,5,4,5,"Расширение удобное: предупреждения понятные, в работе почти не мешает."
FB-0010,2025-03-02,школьник,М,Yandex,Windows 11,1.0.4,4,5,4,5,4,4,5,4,5,4,"Хорошо ловит подозрительные ссылки и помогает не перейти на поддельный сайт."
FB-0011,2025-03-05,пенсионер,Ж,Chrome,Windows 11,1.0.5,5,4,5,4,5,5,4,5,4,5,"Понравилась скорость проверки: вердикт появляется быстро и читаемо."
FB-0012,2025-03-08,человек средних лет,М,Brave,Windows 10,1.0.0,3,4,3,4,3,4,3,4,3,4,"Хорошая защита, при этом иногда хочется быстрее добавлять сайт в исключения."
FB-0013,2025-03-11,студент,Ж,Arc,macOS,1.0.1,5,4,5,4,5,5,4,5,4,5,"Подсветка ссылок до клика действительно снижает число случайных переходов."
